cif,bg_hse
SM-17469,1.6601559999999995
SM-5479,4.667528
SM-14957,1.7116419999999994
SM-3801,2.191559
SM-17845,2.131638
SM-14621,1.216819
SM-12640,3.339563
SM-9699,2.27492
SM-9257,1.895897
SM-11776,0.49024
SM-14753,0.0414259999999995
SM-1221,2.217322
SM-13495,2.509166
SM-13651,0.0569069999999998
SM-13555,2.14437
SM-13871,3.995466
SM-7882,3.71424
SM-12402,3.256124
SM-20575,0.3153700000000006
SM-9476,2.585011
SM-17278,0.6681920000000003
SM-12320,3.245207
SM-496,5.910846
SM-16645,4.497757
SM-12189,1.930642
SM-18116,3.946447
SM-5816,1.255728
SM-10697,2.162012
SM-1426,1.426568
SM-8738,3.265329
SM-11993,1.167797
SM-16914,2.08304
SM-4311,0.953772
SM-11230,1.94581
SM-11609,3.747074
SM-20170,3.051347
SM-13978,4.305715
SM-11468,2.106502
SM-8019,1.907919
SM-10212,3.784199
SM-687,1.038939
SM-19024,1.681266
SM-8021,3.403021
SM-17754,3.450784
SM-14171,2.787859
SM-18184,0.7040149999999996
SM-13385,3.621105
SM-15939,1.2661439999999995
SM-12170,1.272268
SM-13654,1.032374
SM-10596,1.315201
SM-15699,4.898011
SM-17394,0.224866
SM-17654,2.512085
SM-6441,8.547205
SM-7732,1.563516
SM-10404,2.304697
SM-16633,2.860764
SM-12718,3.354712
SM-7757,0.844255
SM-17398,2.8429390000000003
SM-2045,4.678713
SM-11253,3.499733
SM-9286,3.149064
SM-1599,1.793989
SM-11073,1.685198
SM-15998,2.240781
SM-2533,3.987576
SM-16784,2.626493
SM-17026,1.798261
SM-11970,2.834046
SM-198,4.027844
SM-12035,3.325246
SM-17424,2.446968
SM-3093,1.165697
SM-9084,1.189845
SM-7038,1.12313
SM-5925,3.474882
SM-11929,3.270207
SM-12793,3.6542
SM-7783,1.370438
SM-4462,1.301852
SM-15800,3.721263
SM-17051,0.415099
SM-17148,3.244535
SM-11754,3.569388
SM-19476,4.818552
SM-631,3.076263
SM-12453,3.655155
SM-10880,1.25775
SM-4835,2.599927
SM-18173,6.532386
SM-12340,3.437478
SM-10534,2.087572
SM-13307,2.143879
SM-12093,3.485362
SM-4405,0.502979
SM-19781,7.510421
SM-11595,1.936964
SM-12487,0.582873
SM-15938,3.2771860000000004
SM-16844,4.035376
SM-15276,3.41151
SM-4920,2.645922
SM-1000,3.088441
SM-4122,2.15246
SM-16996,3.0504420000000003
SM-15933,1.754989
SM-15048,6.997563
SM-17083,1.7169230000000004
SM-10306,2.378745
SM-4338,1.048958
SM-10603,1.883213
SM-16576,2.365732
SM-2291,3.236834
SM-12158,3.881581
SM-15662,2.561744
SM-10844,2.535568
SM-489,6.723062
SM-17720,4.067247
SM-10410,1.654981
SM-11403,1.070364
SM-1016,2.98839
SM-12220,1.550882
SM-7041,2.363096
SM-16805,2.170747
SM-14372,2.2181580000000003
SM-599,2.895172
SM-13080,2.615943
SM-17631,2.464967
SM-8976,2.021512
SM-12783,3.612111
SM-6002,2.4693
SM-13072,3.650947
SM-19505,2.386432
SM-11802,4.728555
SM-18044,1.704513
SM-12601,1.366624
SM-19117,2.157612
SM-13479,3.468281
SM-17583,2.792551
SM-3063,2.824832
SM-6875,1.05655
SM-11633,4.084744
SM-13070,0.963839
SM-13114,2.47883
SM-10617,1.678379
SM-20129,1.271108
SM-4730,2.042906
SM-14106,4.527765
SM-11971,3.509846
SM-20101,3.802091
SM-10834,1.719867
SM-4539,2.222393
SM-12517,2.657952
SM-17750,2.976261
SM-12224,2.878051
SM-11607,3.26757
SM-7018,5.317755
SM-16574,2.288363
SM-8255,2.573567
SM-10741,1.844451
SM-3022,2.131659
SM-4434,0.878733
SM-16379,3.477694
SM-17803,2.014716
SM-10607,2.356653
SM-14247,2.777628
SM-3797,1.933174
SM-12710,3.95116
SM-10794,0.85725
SM-10258,2.572886
SM-12399,3.550813
SM-13430,3.213345
SM-11358,2.583724
SM-4638,2.234203
SM-4912,2.453532
SM-2292,3.632215
SM-9667,0.357947
SM-3046,1.049499
SM-10672,0.219004
SM-10941,3.67756
SM-19478,0.568374
SM-16833,1.769983
SM-11648,1.765901
SM-13891,3.699243
SM-11397,0.110964
SM-11636,3.622005
SM-15969,3.951969
SM-17078,1.31248
SM-13357,2.92142
SM-3761,1.664447
SM-9351,1.029594
SM-11386,3.052054
SM-17149,2.334487
SM-2995,2.494537
SM-11691,4.767754
SM-12171,1.449808
SM-1657,0.095286
SM-3837,1.400396
SM-4067,4.000714
SM-19706,1.332653
SM-14656,2.399633
SM-4038,0.665159
SM-11377,4.344349
SM-893,2.986603
SM-8947,3.701129
SM-14891,0.7690459999999999
SM-11908,2.510862
SM-5125,1.523969
SM-3607,4.415756
SM-2043,4.411084
SM-13456,3.462504
SM-12509,3.755734
SM-15955,3.178887
SM-3045,2.750215
SM-15316,1.937823
SM-17022,2.249163
SM-12287,3.405559
SM-2372,3.766518
SM-13277,2.152829
SM-435,0.245883
SM-13768,3.913264
SM-13693,6.524745
SM-14182,5.474158
SM-17162,2.393165
SM-14570,2.524261
SM-17412,1.738082
SM-13392,3.550751
SM-9875,1.622383
SM-10234,3.664957
SM-18984,2.841451
SM-18204,1.314572
SM-4829,4.023869
SM-4642,0.577886
SM-18021,2.615133
SM-4983,2.164224
SM-10709,3.82678
SM-16920,1.006474
SM-12121,3.298854
SM-1528,2.269744
SM-17556,0.673265
SM-19763,0.164927
SM-9725,3.434347
SM-13720,0.4578420000000003
SM-16308,3.298834
SM-12594,3.236768
SM-9897,2.939153
SM-10465,0.676792
SM-9631,2.374295
SM-16099,4.832348
SM-10489,0.053227
SM-6637,1.091688
SM-32,2.841776
SM-17209,1.660269
SM-12298,1.111313
SM-1888,3.294992
SM-575,7.056833
SM-19994,2.496676
SM-6260,0.473757
SM-10354,0.893626
SM-9946,3.90606
SM-17495,2.029959
SM-10864,2.865216
SM-20330,2.407725
SM-4094,3.425508
SM-13391,2.562379
SM-6535,0.411554
SM-2950,3.636501
SM-8527,2.664817
SM-15238,1.990545
SM-12519,3.167561
SM-10813,2.575568
SM-4289,2.604895
SM-14593,2.46572
SM-20114,3.040452
SM-12827,2.619685
SM-14330,1.7781019999999996
SM-4170,2.212985
SM-1952,4.159333
SM-13297,4.370029
SM-16064,3.084892
SM-3067,1.823831
SM-12553,4.614927
SM-11780,6.484299
SM-17323,2.443949
SM-12424,3.25723
SM-1303,0.503533
SM-12834,2.348835
SM-16742,0.217074
SM-14560,3.186382
SM-10446,2.387133
SM-7543,2.363252
SM-2149,2.829121
SM-12905,3.979197
SM-19495,5.474617
SM-4401,0.724681
SM-947,6.511167
SM-20563,1.409277
SM-7875,2.770637
SM-4580,2.759122
SM-17071,1.5182879999999992
SM-20451,5.007534
SM-4442,1.074472
SM-10916,3.813551
SM-10935,2.971939
SM-19895,3.622026
SM-4695,2.778594
SM-6807,3.229103
SM-11624,3.100996
SM-17459,2.896798
SM-5538,1.285421
SM-15348,0.6002899999999998
SM-18240,2.382034
SM-18156,2.654432
SM-1405,0.4210699999999998
SM-19793,3.935911
SM-12689,4.644082
SM-12490,2.914969
SM-11956,3.5246
SM-13471,3.567555
SM-12886,4.044376
SM-19932,3.145057
SM-15029,3.439788
SM-672,2.442756
SM-20561,0.786542
SM-20178,1.341918
SM-18319,6.204630999999999
SM-10682,3.551059
SM-19785,7.264801
SM-2581,4.121469
SM-11856,3.469665
SM-5281,4.288202
SM-11059,3.473534
SM-15798,3.5206470000000003
SM-13714,5.929290999999999
SM-12562,2.693139
SM-9456,0.390332
SM-14340,0.5213580000000002
SM-19856,7.473458
SM-10967,2.2707
