cif,bg_hse
SM-1000,3.088441
SM-10008,3.409682
SM-10012,1.028657
SM-10014,3.224964
SM-10015,2.711083
SM-10016,3.536008
SM-10018,3.901814
SM-10019,4.322864
SM-10020,4.071448
SM-10021,4.451213
SM-10022,4.073163
SM-10025,0.993409
SM-10026,0.770847
SM-10027,0.079318
SM-10032,0.458029
SM-10035,1.520559
SM-1004,1.903206
SM-10040,1.2556
SM-1005,1.165648
SM-10057,3.446564
SM-1006,1.596743
SM-10066,3.973109
SM-10070,2.122605
SM-10072,1.673204
SM-10084,0.902012
SM-10090,0.08682
SM-10092,0.118392
SM-10097,0.404521
SM-10100,0.457203
SM-1011,2.330739
SM-10111,0.480888
SM-1015,1.289156
SM-1016,2.98839
SM-10165,2.239208
SM-10166,1.788288
SM-10169,0.969438
SM-10171,0.638522
SM-10172,0.79886
SM-10187,3.238905
SM-10189,4.258548
SM-10190,3.900765
SM-10191,3.700692
SM-10192,3.565004
SM-10193,4.146912
SM-10194,4.157607
SM-10196,3.210461
SM-10197,2.766019
SM-1020,1.093687
SM-10201,1.877321
SM-10203,1.940156
SM-10204,1.770374
SM-10205,2.738694
SM-10206,3.848728
SM-10208,2.534362
SM-10210,3.714481
SM-10212,3.784199
SM-10213,3.814632
SM-10214,2.399963
SM-10215,2.904282
SM-10217,3.304092
SM-10218,3.375061
SM-10220,2.730326
SM-10221,3.085036
SM-10222,3.12575
SM-10223,3.831944
SM-10224,2.723879
SM-10225,2.986167
SM-10227,3.115511
SM-10230,3.806658
SM-10233,2.278824
SM-10234,3.664957
SM-10235,3.30148
SM-10236,4.097016
SM-10239,2.881949
SM-1024,0.042338
SM-10240,2.861233
SM-10243,3.127649
SM-10244,3.128387
SM-10245,3.427566
SM-10246,3.80245
SM-10249,3.192392
SM-10250,3.618474
SM-10251,2.760243
SM-10252,3.851612
SM-10253,1.952078
SM-10254,3.128426
SM-10255,3.795893
SM-10257,0.429052
SM-10258,2.572886
SM-10259,4.546622
SM-10260,3.739278
SM-10261,2.749322
SM-10262,2.577009
SM-10265,2.736757
SM-10266,3.22478
SM-10267,4.081153
SM-10271,2.82623
SM-10272,1.727162
SM-10274,4.703003
SM-10275,4.445081
SM-10276,2.878556
SM-10277,2.761722
SM-10278,3.698343
SM-10279,3.377602
SM-10280,3.363205
SM-10281,3.707385
SM-10282,3.283691
SM-10284,5.184463
SM-10286,2.495385
SM-10287,3.192903
SM-10288,2.414454
SM-10289,3.188982
SM-10290,1.633581
SM-10291,1.138614
SM-10295,1.462269
SM-10303,3.000806
SM-10304,3.000624
SM-10305,2.392382
SM-10306,2.378745
SM-10307,2.010455
SM-10308,1.894144
SM-10317,2.859986
SM-10318,2.032271
SM-10319,2.601336
SM-10320,3.961257
SM-10322,1.823527
SM-10325,1.264102
SM-10333,0.313307
SM-10335,2.363515
SM-10336,2.225448
SM-10337,1.676782
SM-10338,2.725726
SM-10339,3.148249
SM-10340,3.19681
SM-10342,2.745135
SM-10347,1.824344
SM-10348,3.032044
SM-10349,2.063691
SM-10353,2.678555
SM-10354,0.893626
SM-10357,2.228501
SM-10360,2.306603
SM-10361,2.487922
SM-10362,2.492975
SM-10363,3.404611
SM-10364,1.923514
SM-10365,1.525822
SM-10374,2.190796
SM-10376,0.796349
SM-10378,0.978995
SM-10387,1.621463
SM-10388,1.948112
SM-10389,2.40895
SM-10392,0.533247
SM-10393,1.967941
SM-10395,0.339273
SM-10397,0.227818
SM-104,0.78437
SM-10402,2.842563
SM-10403,1.487595
SM-10404,2.304697
SM-10409,1.519839
SM-10410,1.654981
SM-10411,0.922806
SM-10412,0.260803
SM-10413,0.480492
SM-10429,0.297793
SM-10439,0.047493
SM-10445,2.254317
SM-10446,2.387133
SM-10447,1.685558
SM-10451,1.212639
SM-10452,0.107193
SM-10457,2.351297
SM-10458,1.988885
SM-10459,1.563292
SM-10461,0.934249
SM-10463,0.407973
SM-10465,0.676792
SM-10471,1.199734
SM-10474,0.63511
SM-10479,1.31295
SM-10482,1.636463
SM-10483,1.377456
SM-10485,0.936249
SM-10489,0.053227
SM-10490,2.426874
SM-10491,1.11777
SM-10493,1.224495
SM-10494,1.647451
SM-105,0.137592
SM-1050,0.511828
SM-10503,3.314208
SM-10505,1.583674
SM-10506,1.691647
SM-10507,1.122155
SM-10508,1.105396
SM-10509,2.141978
SM-10510,3.890301
SM-10511,2.72775
SM-10512,2.461943
SM-10513,1.815065
SM-10515,1.64004
SM-10516,1.966594
SM-10517,1.540408
SM-10518,1.168234
SM-10519,3.512724
SM-10520,3.1103
SM-10521,3.810784
SM-10522,2.651739
SM-10523,3.082769
SM-10524,2.182393
SM-10525,0.524392
SM-10534,2.087572
SM-10563,1.295818
SM-10564,1.109487
SM-10565,1.127348
SM-10582,0.794533
SM-10586,2.068318
SM-10587,1.467553
SM-10588,2.116999
SM-10589,2.076617
SM-10590,2.766559
SM-10592,1.474454
SM-10593,1.391171
SM-10594,1.033071
SM-10595,1.539954
SM-10596,1.315201
SM-10598,1.322692
SM-10599,2.038612
SM-10600,3.37825
SM-10601,3.377838
SM-10602,1.001557
SM-10603,1.883213
SM-10604,1.452526
SM-10605,2.122591
SM-10606,2.127933
SM-10607,2.356653
SM-10608,1.548419
SM-10610,2.519755
SM-10611,3.501886
SM-10612,2.252647
SM-10613,2.753636
SM-10614,3.274257
SM-10615,3.111647
SM-10616,2.700993
SM-10617,1.678379
SM-10618,3.390717
SM-10619,1.088964
SM-10620,2.029217
SM-10621,2.180119
SM-10622,2.073217
SM-10625,1.095421
SM-10627,1.613994
SM-10628,0.192649
SM-10629,0.15417
SM-10630,0.907544
SM-10631,0.655064
SM-10633,0.616703
SM-10634,0.356555
SM-10636,0.25871
SM-10640,0.034873
SM-10642,1.166394
SM-10643,0.700306
SM-10646,1.177349
SM-10647,0.086639
SM-10650,1.179156
SM-10651,1.873221
SM-10652,2.220392
SM-10653,1.487797
SM-10654,0.833704
SM-10656,1.88184
SM-10657,2.869544
SM-10659,2.280706
SM-10660,1.092201
SM-10669,1.594559
SM-10672,0.219004
SM-10673,0.416712
SM-10679,1.213243
SM-10682,3.551059
SM-10683,2.687754
SM-10684,1.97659
SM-10685,1.935167
SM-10687,2.980427
SM-10689,1.507505
SM-10690,1.360323
SM-10693,2.326826
SM-10694,2.064838
SM-10695,2.136067
SM-10696,1.429816
SM-10697,2.162012
SM-10698,1.995081
SM-10699,2.849919
SM-10700,1.97762
SM-10701,2.077407
SM-10702,1.484521
SM-10703,1.103107
SM-10705,2.331397
SM-10707,3.740377
SM-10708,4.259021
SM-10709,3.82678
SM-10710,3.680051
SM-10711,3.766462
SM-10712,3.537611
SM-10713,2.092385
SM-10714,3.194673
SM-10716,1.938362
SM-10717,4.439147
SM-10718,2.313418
SM-10719,2.764934
SM-10720,3.142943
SM-10721,2.645324
SM-10723,3.511571
SM-10724,2.204025
SM-10725,4.322567
SM-10726,2.157499
SM-10727,2.390277
SM-10728,2.044617
SM-10730,2.780484
SM-10733,2.936438
SM-10734,1.991083
SM-10735,1.390136
SM-10736,2.80012
SM-10737,3.103427
SM-10738,0.744525
SM-10739,2.157059
SM-10740,2.291369
SM-10741,1.844451
SM-10742,2.229886
